No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
1,hypochlorous acid,3000000000,9.477121255,7790-92-3,OCl,,25,DOI: 10.1021/acs.est.7b00507,alcohol,Oxygenated organics,InChI=1S/ClHO/c1-2/h2H,QWPPOHNGKGFGJK-UHFFFAOYSA-N
2,hypochlorous acid,8200000000,9.913813852,7790-92-3,OCl,,25,DOI: 10.1021/acs.est.7b00508,alcohol,Oxygenated organics,InChI=1S/ClHO/c1-2/h2H,QWPPOHNGKGFGJK-UHFFFAOYSA-N
3,CHLORIDE STANDARD,2100000000,9.322219295,16887-00-6,[Cl-],,25,DOI: 10.1021/acs.est.7b00509,halogenated,Halogenated organics,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M
4,Water,250000,5.397940009,7732-18-5,O,,25,DOI: 10.1021/acs.est.7b00510,alcohol,Oxygenated organics,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N
5,Hydroxide ion,18000000000,10.25527251,3352-57-6,[OH],,25,DOI: 10.1021/acs.est.7b00511,alcohol,Oxygenated organics,InChI=1S/HO/h1H,TUJKJAMUKRIRHC-UHFFFAOYSA-N
6,Dichloromethane,,7.13,75-09-2,ClCCl,,,https://doi.org/10.1021/jp051072l,halogenated,Halogenated organics,InChI=1S/CH2Cl2/c2-1-3/h1H2,YMWUJEATGCHHMB-UHFFFAOYSA-N
7,Pentane,,9.97,109-66-0,CCCCC,,,https://doi.org/10.1021/jp051073l,alkane,Aliphatic hydrocarbons,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",OFBQJSOFQDEBGM-UHFFFAOYSA-N
8,Hexane,,10.02,110-54-3,CCCCCC,,,https://doi.org/10.1021/jp051074l,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",VLKZOEOYAKHREP-UHFFFAOYSA-N
9,Heptane,,10.03,142-82-5,CCCCCCC,,,https://doi.org/10.1021/jp051075l,alkane,Aliphatic hydrocarbons,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",IMNFDUFMRHMDMM-UHFFFAOYSA-N
10,Cyclopentane,,10,287-92-3,C1CCCC1,,,https://doi.org/10.1021/jp051076l,cyclo,Aromatic & PAHs,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,RGSFGYAAUTVSQA-UHFFFAOYSA-N
11,Cyclohexane,,10.06,110-82-7,C1CCCCC1,,,https://doi.org/10.1021/jp051077l,benzene,Aromatic & PAHs,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,XDTMQSROBMDMFD-UHFFFAOYSA-N
12,Cycloheptane,,10.07,291-64-5,C1CCCCCC1,,,https://doi.org/10.1021/jp051078l,cyclo,Aromatic & PAHs,InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2,DMEGYFMYUHOHGS-UHFFFAOYSA-N
13,Methanol,,9.72,67-56-1,CO,,,https://doi.org/10.1021/jp051079l,halogenated,Halogenated organics,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N
14,Ethanol,,9.85,64-17-5,CCO,,,https://doi.org/10.1021/jp051080l,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
15,benzoic acid,18000000000,10.25527251,65-85-0,O=C(O)c1ccccc1,,,https://doi.org/10.1021/es4036094,benzene,Aromatic & PAHs,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N
16,Hypochlorous acid,3000000000,9.477121255,7790-92-3,OCl,6,,https://doi.org/10.1021/es4036094,alcohol,Oxygenated organics,InChI=1S/ClHO/c1-2/h2H,QWPPOHNGKGFGJK-UHFFFAOYSA-N
17,hypochlorite,8200000000,9.913813852,14380-61-1,[O-]Cl,9,,https://doi.org/10.1021/es4036094,halogenated,Halogenated organics,InChI=1S/ClO/c1-2/q-1,WQYVRQLZKVEZGA-UHFFFAOYSA-N
18,Bicarbonate ion,220000000,8.342422681,71-52-3,O=C([O-])O,,,https://doi.org/10.1021/es4036095,halogenated,Halogenated organics,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1",BVKZGUZCCUSVTD-UHFFFAOYSA-M
19,benzene,12000000000,10.07918125,71-43-2,c1ccccc1,1.5,25,https://doi.org/10.1155/2024/6974417,benzene,Aromatic & PAHs,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
20,Ethyl alcohol,6200000000,9.792391689,64-17-5,CCO,,21,https://doi.org/10.1002/kin.10109,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
21,Ethyl alcohol,2780000000,9.444044796,64-17-5,CCO,,21,https://doi.org/10.1002/kin.10110,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
22,n-Propyl alcohol,9210000000,9.96425963,71-23-8,CCCO,,21,https://doi.org/10.1002/kin.10111,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N
23,n-Propyl alcohol,8850000000,9.946943271,71-23-8,CCCO,,21,https://doi.org/10.1002/kin.10112,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N
24,Isopropyl alcohol,4420000000,9.645422269,67-63-0,CC(C)O,,21,https://doi.org/10.1002/kin.10113,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N
