No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
1,Phenol,,8.34,108-95-2,Oc1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
2,4-Hydroxybenzaldehyde,,7.88,123-08-0,O=Cc1ccc(O)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",RGHHSNMVTDWUBI-UHFFFAOYSA-N
3,4-Hydroxybenzoic acid,,8.45,99-96-7,O=C(O)c1ccc(O)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N
4,Salicylic acid（2-Hydroxybenzoic acid）,,8.32,69-72-7,O=C(O)c1ccccc1O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N
5,3-Hydroxybenzoic acid,,8.39,99-06-9,O=C(O)c1cccc(O)c1,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",IJFXRHURBJZNAO-UHFFFAOYSA-N
6,4-Methoxyphenol,,9.04,150-76-5,COc1ccc(O)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",NWVVVBRKAWDGAB-UHFFFAOYSA-N
7,Anisole,,8.21,100-66-3,COc1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,ether,Oxygenated organics,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",RDOXTESZEPMUJZ-UHFFFAOYSA-N
8,1-(4-Methoxyphenyl)ethanone,,7.63,100-06-1,COc1ccc(C(C)=O)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,ketone,Oxygenated organics,"InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3",NTPLXRHDUXRPNE-UHFFFAOYSA-N
9,p-Toluic acid,,6.72,99-94-5,Cc1ccc(C(=O)O)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,carboxylic acid,Oxygenated organics,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)",LPNBBFKOUUSUDB-UHFFFAOYSA-N
10,Styrene,,7.32,100-42-5,C=CC1=CC=CC=C1,7,,https://doi.org/10.1021/acs.est.9b02462,alkene,Aliphatic hydrocarbons,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",PPBRXRYQALVLMV-UHFFFAOYSA-N
11,Aniline,,8.83,62-53-3,Nc1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N
12,Imidazole,,8.26,288-32-4,c1c[nH]cn1,7,,https://doi.org/10.1021/acs.est.9b02462,imidazole,Heterocycles,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",RAXXELZNTBOGNW-UHFFFAOYSA-N
13,Sorbic acid,,8.83,110-44-1,CC=CC=CC(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,carboxylic acid,Oxygenated organics,"InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)",WSWCOQWTEOXDQX-UHFFFAOYSA-N
14,Maleic acid,,6.25,110-16-7,O=C(O)C=CC(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,dicarboxylic acid,Polyfunctional / highly functionalized,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",VZCYOOQTPOCHFL-UHFFFAOYSA-N
15,Cyclohexene,,7.49,110-83-8,C1=CCCCC1,7,,https://doi.org/10.1021/acs.est.9b02462,alkene,Aliphatic hydrocarbons,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",HGCIXCUEYOPUTN-UHFFFAOYSA-N
16,benzoic acid,2000000,6.301029996,65-85-0,O=C(O)c1ccccc1,,,https://doi.org/10.1021/es4036094,carboxylic acid,Oxygenated organics,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N
17,Hydroxide ion,4500000,6.653212514,14280-30-9,[OH-],,,https://doi.org/10.1021/es4036094,inorganic,Others / Unassigned,InChI=1S/H2O/h1H2/p-1,XLYOFNOQVPJJNP-UHFFFAOYSA-M
18,benzene,4500000,6.653212514,71-43-2,c1ccccc1,1.5,25,https://doi.org/10.1155/2024/6974417,benzene,Aromatic & PAHs,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
19,N-Nitrosodimethylamine,135000000,8.130333768,62-75-9,CN(C)N=O,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,UMFJAHHVKNCGLG-UHFFFAOYSA-N
20,N-Methyl-N-nitrosoethanamine,46000000,7.662757832,10595-95-6,CCN(C)N=O,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,"InChI=1S/C3H8N2O/c1-3-5(2)4-6/h3H2,1-2H3",RTDCJKARQCRONF-UHFFFAOYSA-N
21,N-Nitrosodiethylamine,129000000,8.11058971,55-18-5,CCN(CC)N=O,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,"InChI=1S/C4H10N2O/c1-3-6(4-2)5-7/h3-4H2,1-2H3",WBNQDOYYEUMPFS-UHFFFAOYSA-N
22,"1-Propanamine,N-nitroso-N-propyl",259000000,8.413299764,621-64-7,CCCN(CCC)N=O,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,"InChI=1S/C6H14N2O/c1-3-5-8(7-9)6-4-2/h3-6H2,1-2H3",YLKFDHTUAUWZPQ-UHFFFAOYSA-N
23,N-nitrosodibutylamine,219000000,8.340444115,924-16-3,O=NN(CCCC)CCCC,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,"InChI=1S/C8H18N2O/c1-3-5-7-10(9-11)8-6-4-2/h3-8H2,1-2H3",YGJHZCLPZAZIHH-UHFFFAOYSA-N
24,1-nitrosopyrrolidine,90000000,7.954242509,930-55-2,O=NN1CCCC1,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,InChI=1S/C4H8N2O/c7-5-6-3-1-2-4-6/h1-4H2,WNYADZVDBIBLJJ-UHFFFAOYSA-N
25,1-nitrosopiperidine,347000000,8.540329475,100-75-4,O=NN1CCCCC1,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,InChI=1S/C5H10N2O/c8-6-7-4-2-1-3-5-7/h1-5H2,UWSDONTXWQOZFN-UHFFFAOYSA-N
26,"Morpholine,4-nitroso-",1060000000,9.025305865,59-89-2,O=NN1CCOCC1,7,25,https://doi.org/10.1016/j.jece.2022.108705,"nitroso, nitramine",Nitrogen-containing organics,InChI=1S/C4H8N2O2/c7-5-6-1-3-8-4-2-6/h1-4H2,ZKXDGKXYMTYWTB-UHFFFAOYSA-N
27,Ofloxacin,348000000,8.541579244,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,6.5,25,https://doi.org/10.1016/j.jece.2024.113740,halogenated,Halogenated organics,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",GSDSWSVVBLHKDQ-UHFFFAOYSA-N
28,Amoxicillin,420000000,8.62324929,26787-78-0,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,6.5,25,https://doi.org/10.1016/j.jece.2024.113743,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)",LSQZJLSUYDQPKJ-UHFFFAOYSA-N
29,Paracetamol,432000000,8.635483747,103-90-2,CC(=O)Nc1ccc(O)cc1,6.5,25,https://doi.org/10.1016/j.jece.2024.113744,phenol,Oxygenated organics,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N
30,Ciprofloxacin,219000000,8.340444115,85721-33-1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,6.5,25,https://doi.org/10.1016/j.jece.2024.113746,halogenated,Halogenated organics,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N
31,Caffeine,928000000,8.967547976,58-08-2,CN1C=NC2=C1C(N(C)C(N2C)=O)=O,6.5,25,https://doi.org/10.1016/j.jece.2024.113747,imidazole,Heterocycles,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N
32,Nitrite,250000000,8.397940009,24407-06-5,[O-]N=O,7,25,https://doi.org/10.1016/j.scitotenv.2020.143325,"nitroso, nitramine",Nitrogen-containing organics,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",IOVCWXUNBOPUCH-UHFFFAOYSA-M
33,tert-Butanol,700,2.84509804,75-65-0,CC(C)(C)O,7,25,https://doi.org/10.1016/j.scitotenv.2020.143325,alcohol,Oxygenated organics,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
