No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
1,Tetracycline,,5.57,60-54-8,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,7,22,https://doi.org/10.1016/j.watres.2010.11.039,phenol,Oxygenated organics,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)",NWXMGUDVXFXRIG-UHFFFAOYSA-N
2,Oxytetracycline,,6.25,79-57-2,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,7,22,https://doi.org/10.1016/j.watres.2010.11.039,phenol,Oxygenated organics,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25-26,28,30,32-33H,1-3H3,(H2,23,31)",OWFJMIVZYSDULZ-UHFFFAOYSA-N
3,Chlorotetracycline,,4.91,57-62-5,CN(C)C1C(=O)C(C(=O)N)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cc(Cl)cc4C(C)(O)C3CC12,7,22,https://doi.org/10.1016/j.watres.2010.11.039,halogenated,Halogenated organics,"InChI=1S/C22H23ClN2O8/c1-21(32)8-4-7(23)5-11(26)12(8)16(27)13-9(21)6-10-15(25(2)3)17(28)14(20(24)31)19(30)22(10,33)18(13)29/h4-5,9-10,15,26-27,30,32-33H,6H2,1-3H3,(H2,24,31)",ACZFZPFQSDSAID-UHFFFAOYSA-N
4,Iso-chlorotetracycline,,4.05,7301-38-4,CN(C)C1C(=O)C(C(=O)N)=C(O)C2(O)C(=O)C3=C(Cl)c4c(O)cccc4C(C)(O)C3CC12,7,22,https://doi.org/10.1016/j.watres.2010.11.039,halogenated,Halogenated organics,"InChI=1S/C22H23ClN2O7/c1-21(31)8-5-4-6-11(26)12(8)15(23)13-9(21)7-10-16(25(2)3)17(27)14(20(24)30)19(29)22(10,32)18(13)28/h4-6,9-10,16,26,29,31-32H,7H2,1-3H3,(H2,24,30)",YMCLRBRZGQEKBB-UHFFFAOYSA-N
5,Pyrrole,,3.26,109-97-7,c1cc[nH]c1,7,,https://doi.org/10.1021/acs.est.5c01012,heterocycle,Heterocycles,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,KAESVJOAVNADME-UHFFFAOYSA-N
6,Imidazole,,3.71,288-32-4,c1c[nH]cn1,9,,https://doi.org/10.1021/acs.est.5c01012,imidazole,Heterocycles,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",RAXXELZNTBOGNW-UHFFFAOYSA-N
7,Dexmedetomidine,,0.87,113775-47-6,Cc1cccc(C(C)c2cnc[nH]2)c1C,9,,https://doi.org/10.1021/acs.est.5c01012,imidazole,Heterocycles,"InChI=1S/C13H16N2/c1-9-5-4-6-12(10(9)2)11(3)13-7-14-8-15-13/h4-8,11H,1-3H3,(H,14,15)",CUHVIMMYOGQXCV-UHFFFAOYSA-N
8,Guanine,,4.32,73-40-5,C1=NC2=C(N1)C(=O)NC(=N2)N,7,,https://doi.org/10.1021/acs.est.5c01012,imidazole,Heterocycles,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",UYTPUPDQBNUYGX-UHFFFAOYSA-N
9,Metoprolol,,4.65,51384-51-1,CC(C)(O)C(C1=CC=C(O)C=C1)NCC(O)CO,7,,https://doi.org/10.1021/acs.est.8b01099,amine,Nitrogen-containing organics,"InChI=1S/C13H21NO4/c1-13(2,18)12(14-7-11(17)8-15)9-3-5-10(16)6-4-9/h3-6,11-12,14-18H,7-8H2,1-2H3",ZRHSDNXPQSRESR-UHFFFAOYSA-N
10,Atenolol,,4.04,29122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,7,,https://doi.org/10.1016/j.watres.2009.11.045,amide,Nitrogen-containing organics,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N
11,Ciprofloxacin,,5.88,85721-33-1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,7,,https://doi.org/10.1021/es050054e,halogenated,Halogenated organics,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N
12,Dimethenamid-Cl,,6.08,87674-68-8,COCC(C)N(C(=O)CCl)c1c(C)csc1C,,25,https://doi.org/10.1021/es9038903,halogenated,Halogenated organics,"InChI=1S/C12H18ClNO2S/c1-8-7-17-10(3)12(8)14(11(15)5-13)9(2)6-16-4/h7,9H,5-6H2,1-4H3",JLYFCTQDENRSOL-UHFFFAOYSA-N
13,Dimethenamid- HOCl,,-0.74,87674-68-8,COCC(C)N(C(=O)CCl)c1c(C)csc1C,,25,https://doi.org/10.1021/es9038903,halogenated,Halogenated organics,"InChI=1S/C12H18ClNO2S/c1-8-7-17-10(3)12(8)14(11(15)5-13)9(2)6-16-4/h7,9H,5-6H2,1-4H3",JLYFCTQDENRSOL-UHFFFAOYSA-N
14,CBBP*,1.69,9.227886705,13080-78-9,O=C(C1=CC=C(O)C=C1)C2=CC=CC=C2,7,25,https://doi.org/10.1021/acs.est.3c02458,phenol,Oxygenated organics,"InChI=1S/C13H10O2/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9,14H",NPFYZDNDJHZQKY-UHFFFAOYSA-N
15,CBBP*,1.69,9.227886705,13080-78-9,O=C(C1=CC=C(O)C=C1)C2=CC=CC=C2,5,25,https://doi.org/10.1021/acs.est.3c02458,phenol,Oxygenated organics,"InChI=1S/C13H10O2/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9,14H",NPFYZDNDJHZQKY-UHFFFAOYSA-N
16,CBBP*,0.94,8.973127854,13080-78-9,O=C(C1=CC=C(O)C=C1)C2=CC=CC=C2,10,25,https://doi.org/10.1021/acs.est.3c02458,phenol,Oxygenated organics,"InChI=1S/C13H10O2/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9,14H",NPFYZDNDJHZQKY-UHFFFAOYSA-N
17,Benzophenone,2.54,9.404833717,119-61-9,O=C(c1ccccc1)c1ccccc1,7,25,https://doi.org/10.1021/acs.est.3c02458,ketone,Oxygenated organics,InChI=1S/C13H10O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,RWCCWEUUXYIKHB-UHFFFAOYSA-N
18,Acetophenone,3.33,9.522444234,98-86-2,CC(=O)c1ccccc1,7,25,https://doi.org/10.1021/acs.est.3c02458,ketone,Oxygenated organics,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",KWOLFJPFCHCOCG-UHFFFAOYSA-N
19,3'-Methoxyacetophenone,0.9,8.954242509,586-37-8,COc1cccc(C(C)=O)c1,7,25,https://doi.org/10.1021/acs.est.3c02458,ketone,Oxygenated organics,"InChI=1S/C9H10O2/c1-7(10)8-4-3-5-9(6-8)11-2/h3-6H,1-2H3",BAYUSCHCCGXLAY-UHFFFAOYSA-N
20,Xanthone,1.78,9.250420002,90-47-1,O=c1c2ccccc2oc2ccccc12,7,25,https://doi.org/10.1021/acs.est.3c02458,heterocycle,Heterocycles,InChI=1S/C13H8O2/c14-13-9-5-1-3-7-11(9)15-12-8-4-2-6-10(12)13/h1-8H,JNELGWHKGNBSMD-UHFFFAOYSA-N
21,2-Acetonaphthone,0.4,8.602059991,93-08-3,CC(=O)c1ccc2ccccc2c1,7,25,https://doi.org/10.1021/acs.est.3c02458,ketone,Oxygenated organics,"InChI=1S/C12H10O/c1-9(13)11-7-6-10-4-2-3-5-12(10)8-11/h2-8H,1H3",XSAYZAUNJMRRIR-UHFFFAOYSA-N
22,4-(4-aminophenyl)aniline,0.58,8.763427994,92-87-5,Nc1ccc(-c2ccc(N)cc2)cc1,7,25,https://doi.org/10.1021/acs.est.3c02458,amine,Nitrogen-containing organics,"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",HFACYLZERDEVSX-UHFFFAOYSA-N
23,2-Naphthaldehyde,0.34,8.531478917,66-99-9,O=Cc1ccc2ccccc2c1,7,25,https://doi.org/10.1021/acs.est.3c02458,aldehyde,Oxygenated organics,InChI=1S/C11H8O/c12-8-9-5-6-10-3-1-2-4-11(10)7-9/h1-8H,PJKVFARRVXDXAD-UHFFFAOYSA-N
24,Methiocarb,,8.38,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,5.6,25,https://doi.org/10.1016/j.cej.2013.07.050,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",YFBPRJGDJKVWAH-UHFFFAOYSA-N
25,Methiocarb,,8.36,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,6,25,https://doi.org/10.1016/j.cej.2013.07.051,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",YFBPRJGDJKVWAH-UHFFFAOYSA-N
26,Methiocarb,,8.34,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,6.5,25,https://doi.org/10.1016/j.cej.2013.07.052,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",YFBPRJGDJKVWAH-UHFFFAOYSA-N
27,Methiocarb,,8.35,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,7,25,https://doi.org/10.1016/j.cej.2013.07.053,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",YFBPRJGDJKVWAH-UHFFFAOYSA-N
28,Methiocarb,,8.08,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,7.5,25,https://doi.org/10.1016/j.cej.2013.07.054,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",YFBPRJGDJKVWAH-UHFFFAOYSA-N
29,Methiocarb,,8.38,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,,25,https://doi.org/10.1016/j.cej.2013.07.050,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",YFBPRJGDJKVWAH-UHFFFAOYSA-N
30,Microcystin-LR (MC-LR) - Hypochlorous acid (HOCl),,-1.82,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,6,11,https://doi.org/10.1061/(ASCE)0733-9372(2006)132:7(818),carboxylic acid,Oxygenated organics,"InChI=1S/C49H74N10O12/c1-26(2)23-37-46(66)58-40(48(69)70)30(6)42(62)55-35(17-14-22-52-49(50)51)45(65)54-34(19-18-27(3)24-28(4)38(71-10)25-33-15-12-11-13-16-33)29(5)41(61)56-36(47(67)68)20-21-39(60)59(9)32(8)44(64)53-31(7)43(63)57-37/h11-13,15-16,18-19,24,26,28-31,34-38,40H,8,14,17,20-23,25H2,1-7,9-10H3,(H,53,64)(H,54,65)(H,55,62)(H,56,61)(H,57,63)(H,58,66)(H,67,68)(H,69,70)(H4,50,51,52)",ZYZCGGRZINLQBL-UHFFFAOYSA-N
31,Microcystin-LR (MC-LR) - Hypochlorite ion (OCl−),,-2.14,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,7,11,https://doi.org/10.1061/(ASCE)0733-9372(2006)132:7(818),inorganic halogen,Others / Unassigned,"InChI=1S/C49H74N10O12/c1-26(2)23-37-46(66)58-40(48(69)70)30(6)42(62)55-35(17-14-22-52-49(50)51)45(65)54-34(19-18-27(3)24-28(4)38(71-10)25-33-15-12-11-13-16-33)29(5)41(61)56-36(47(67)68)20-21-39(60)59(9)32(8)44(64)53-31(7)43(63)57-37/h11-13,15-16,18-19,24,26,28-31,34-38,40H,8,14,17,20-23,25H2,1-7,9-10H3,(H,53,64)(H,54,65)(H,55,62)(H,56,61)(H,57,63)(H,58,66)(H,67,68)(H,69,70)(H4,50,51,52)",ZYZCGGRZINLQBL-UHFFFAOYSA-N
32,Microcystin-LR (MC-LR) - Hypochlorite ion (OCl−),,-2.59,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,8,11,https://doi.org/10.1061/(ASCE)0733-9372(2006)132:7(818),inorganic halogen,Others / Unassigned,"InChI=1S/C49H74N10O12/c1-26(2)23-37-46(66)58-40(48(69)70)30(6)42(62)55-35(17-14-22-52-49(50)51)45(65)54-34(19-18-27(3)24-28(4)38(71-10)25-33-15-12-11-13-16-33)29(5)41(61)56-36(47(67)68)20-21-39(60)59(9)32(8)44(64)53-31(7)43(63)57-37/h11-13,15-16,18-19,24,26,28-31,34-38,40H,8,14,17,20-23,25H2,1-7,9-10H3,(H,53,64)(H,54,65)(H,55,62)(H,56,61)(H,57,63)(H,58,66)(H,67,68)(H,69,70)(H4,50,51,52)",ZYZCGGRZINLQBL-UHFFFAOYSA-N
33,Microcystin-LR (MC-LR) - Hypochlorite ion (OCl−),,-2.92,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,9,11,https://doi.org/10.1061/(ASCE)0733-9372(2006)132:7(818),inorganic halogen,Others / Unassigned,"InChI=1S/C49H74N10O12/c1-26(2)23-37-46(66)58-40(48(69)70)30(6)42(62)55-35(17-14-22-52-49(50)51)45(65)54-34(19-18-27(3)24-28(4)38(71-10)25-33-15-12-11-13-16-33)29(5)41(61)56-36(47(67)68)20-21-39(60)59(9)32(8)44(64)53-31(7)43(63)57-37/h11-13,15-16,18-19,24,26,28-31,34-38,40H,8,14,17,20-23,25H2,1-7,9-10H3,(H,53,64)(H,54,65)(H,55,62)(H,56,61)(H,57,63)(H,58,66)(H,67,68)(H,69,70)(H4,50,51,52)",ZYZCGGRZINLQBL-UHFFFAOYSA-N
34,3-Methylanisole (MA) - Hypochlorous acid,,-1.2,100-84-5,COc1cccc(C)c1,6,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C8H10O/c1-7-4-3-5-8(6-7)9-2/h3-6H,1-2H3",OSIGJGFTADMDOB-UHFFFAOYSA-N
35,3-Methylanisole (MA) - Hypochlorous acid,,-1.6,100-84-5,COc1cccc(C)c1,7,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C8H10O/c1-7-4-3-5-8(6-7)9-2/h3-6H,1-2H3",OSIGJGFTADMDOB-UHFFFAOYSA-N
36,3-Methylanisole (MA) - Hypochlorous acid,,-2.3,100-84-5,COc1cccc(C)c1,8,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C8H10O/c1-7-4-3-5-8(6-7)9-2/h3-6H,1-2H3",OSIGJGFTADMDOB-UHFFFAOYSA-N
37,3-Methylanisole (MA) - Hypochlorous acid (HOCl),,-1.87,100-84-5,COc1cccc(C)c1,,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C8H10O/c1-7-4-3-5-8(6-7)9-2/h3-6H,1-2H3",OSIGJGFTADMDOB-UHFFFAOYSA-N
38,"1,3-Dimethoxybenzene (DB) - Hypochlorous acid",,-0.9,151-10-0,COc1cccc(OC)c1,7,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",DPZNOMCNRMUKPS-UHFFFAOYSA-N
39,"1,3-Dimethoxybenzene (DB) - Hypochlorous acid",,-1.4,151-10-0,COc1cccc(OC)c1,8,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",DPZNOMCNRMUKPS-UHFFFAOYSA-N
40,"1,3-Dimethoxybenzene (DB) - Hypochlorous acid (HOCl)",,-0.1,151-10-0,COc1cccc(OC)c1,,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",DPZNOMCNRMUKPS-UHFFFAOYSA-N
41,"1,3,5-Trimethoxybenzene (TB) - Hypochlorous acid (HOCl)",,2.84,621-23-8,COc1cc(OC)cc(OC)c1,,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
42,"1,3,5-Trimethoxybenzene (TB) - Hypochlorous acid",,-0.1,621-23-8,COc1cc(OC)cc(OC)c1,7.5,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
43,"1,3,5-Trimethoxybenzene (TB) - Hypochlorous acid",,-0.5,621-23-8,COc1cc(OC)cc(OC)c1,8.5,20,https://doi.org/10.1021/es203094z,ether,Oxygenated organics,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
44,acrolein,2.7,0.431363764,107-02-8,C=CC=O,7,,https://dx.doi.org/10.1021/acs.est.0c07660,aldehyde,Oxygenated organics,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",HGINCPLSRVDWNT-UHFFFAOYSA-N
45,acrolein,8.6,0.934498451,107-02-8,C=CC=O,8,,https://dx.doi.org/10.1021/acs.est.0c07661,aldehyde,Oxygenated organics,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",HGINCPLSRVDWNT-UHFFFAOYSA-N
46,crotonaldehyde,0.96,-0.017728767,4170-30-3,CC=CC=O,7,,https://dx.doi.org/10.1021/acs.est.0c07662,aldehyde,Oxygenated organics,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3",MLUCVPSAIODCQM-UHFFFAOYSA-N
