No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
1,(C2H5)2NH,5.792391689,109-89-7,CCNCC,,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",HPNMFZURTQLUMO-UHFFFAOYSA-N
2,(C2H5)2O,0.041392685,60-29-7,CCOCC,2,,NIST,alcohol,Oxygenated organics,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",RTZKZFJDLAIYFH-UHFFFAOYSA-N
3,(C2H5)3N,6.322219295,121-44-8,CCN(CC)CC,,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",ZMANZCXQSJIPKH-UHFFFAOYSA-N
4,(CH3)2NCl,3.278753601,1585-74-6,CN(C)Cl,1.6,,NIST,halogenated,Halogenated organics,InChI=1S/C2H6ClN/c1-4(2)3/h1-2H3,MAGVJLLHDZWQFM-UHFFFAOYSA-N
5,(CH3)2NH2+,-0.886056648,17000-01-0,C[NH2+]C,5~6,,NIST,halogenated,Halogenated organics,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3/p+1",ROSDSFDQCJNGOL-UHFFFAOYSA-O
6,(CH3)2NNO,1.041392685,62-75-9,CN(C)N=O,5,,NIST,halogenated,Halogenated organics,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,UMFJAHHVKNCGLG-UHFFFAOYSA-N
7,(CH3)3CCO2-,-2.698970004,29650-96-2,CC(C)(C)C(=O)[O-],5.1 - 5.8,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)/p-1",IUGYQRQAERSCNH-UHFFFAOYSA-M
8,(CH3)3CNH2,4.653212514,75-64-9,CC(C)(N)C,,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3",YBRBMKDOPFTVDT-UHFFFAOYSA-N
9,(CH3)3N,6.612783857,75-50-3,CN(C)C,,,NIST,halogenated,Halogenated organics,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,GETQZCLCWQTVFV-UHFFFAOYSA-N
10,(CH3CH2CH2)2S,5.301029996,638-46-0,CCCCSCC,2,,NIST,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C6H14S/c1-3-5-6-7-4-2/h3-6H2,1-2H3",XJIRSLHMKBUGMR-UHFFFAOYSA-N
11,(E)-3-hexen-1-ol,4.571429303,928-97-2,CC/C=C/CCO,,,10.1039/c6ra17107a,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3+",UFLHIIWVXFIJGU-ONEGZZNKSA-N
