No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
1,(+)-6-Aminopenicillanic acid,9.542825427,36091-15-3,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N)C(=O)O)C,"2.3, 4.9",,10.1016/j.chemosphere.2010.07.015,carboxylic acid,Oxygenated organics,"InChI=1S/C8H12N2O3S/c1-8(2)4(7(12)13)10-5(11)3(9)6(10)14-8/h3-4,6H,9H2,1-2H3,(H,12,13)/t3-,4+,6-/m1/s1",NGHVIOIJCVXTGV-ALEPSDHESA-N
2,(+)-6-aminopenicillanic acid,9.382017043,10003-91-5,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,7.4,,https://doi.org/10.1016/j.chemosphere.2010.07.015,carboxylic acid,Oxygenated organics,"InChI=1S/C8H12N2O3S/c1-8(2)4(7(12)13)10-5(11)3(9)6(10)14-8/h3-4,6H,9H2,1-2H3,(H,12,13)/t3-,4+,6-/m1/s1",NGHVIOIJCVXTGV-ALEPSDHESA-N
3,(+)-6-aminopenicillanic acid),9.431970111,27565-66-8,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,7.4,21,doi.org/10.1016/j.watres.2012.06.006,carboxylic acid,Oxygenated organics,"InChI=1S/C8H12N2O3S/c1-8(2)4(7(12)13)10-5(11)3(9)6(10)14-8/h3-4,6H,9H2,1-2H3,(H,12,13)/t3-,4+,6-/m1/s1",NGHVIOIJCVXTGV-ALEPSDHESA-N
4,"(2,2-Diethoxyethyl)-Benzene",8.84509804,6314-97-2,CCOC(CC1=CC=CC=C1)OCC,9.2,,NIST,benzene,Aromatic & PAHs,"InChI=1S/C12H18O2/c1-3-13-12(14-4-2)10-11-8-6-5-7-9-11/h5-9,12H,3-4,10H2,1-2H3",FYERTDTXGGOMGT-UHFFFAOYSA-N
5,"(2,2-Diethoxyethyl)-Benzene",9.176091259,6314-97-2,CCOC(CC1=CC=CC=C1)OCC,9.2,,NIST,benzene,Aromatic & PAHs,"InChI=1S/C12H18O2/c1-3-13-12(14-4-2)10-11-8-6-5-7-9-11/h5-9,12H,3-4,10H2,1-2H3",FYERTDTXGGOMGT-UHFFFAOYSA-N
6,"(2,3,4-trihydroxy-5-oxopentyl) dihydrogen phosphate",7.397940009,89927-09-3,OC(CO[P](O)(O)=O)C(O)C(O)C=O,,,https://doi.org/10.1021/acs.est.1c04326,phosphorus,Phosphorus-containing organics,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h1,3-5,7-9H,2H2,(H2,10,11,12)",PPQRONHOSHZGFQ-UHFFFAOYSA-N
7,"(2R,3R,4S,5R)-2-(6-dimethylaminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",9.591064607,131265-29-7,CN(C)c1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,,,https://doi.org/10.1021/acs.est.1c04326,diol,Polyfunctional / highly functionalized,"InChI=1S/C12H17N5O4/c1-16(2)10-7-11(14-4-13-10)17(5-15-7)12-9(20)8(19)6(3-18)21-12/h4-6,8-9,12,18-20H,3H2,1-2H3/t6-,8-,9-,12-/m1/s1",WVGPGNPCZPYCLK-WOUKDFQISA-N
8,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.3617,25525-59-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,,,https://doi.org/10.1016/j.jhazmat.2025.138141,amine,Nitrogen-containing organics,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N
9,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.3617,25525-59-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,,,https://doi.org/10.1016/j.jhazmat.2025.138261,amine,Nitrogen-containing organics,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N
10,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.361727836,220499-20-7,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,,,https://doi.org/10.1021/acs.est.1c04326,amine,Nitrogen-containing organics,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N
11,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.3617,25525-59-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,,,https://doi.org/10.1016/j.jhazmat.2025.137959,amine,Nitrogen-containing organics,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N
12,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,9.5051,32680-74-3,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,,,https://doi.org/10.1016/j.jhazmat.2025.138219,phenol,Oxygenated organics,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N
13,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,9.5051,32680-74-3,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,,,https://doi.org/10.1016/j.jhazmat.2025.137940,phenol,Oxygenated organics,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N
14,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,9.505149978,31325-38-9,N[C@@H](Cc1ccc(O)cc1)C(O)=O,,,https://doi.org/10.1021/acs.est.1c04326,phenol,Oxygenated organics,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N
15,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,9.5051,32680-74-3,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,,,https://doi.org/10.1016/j.jhazmat.2025.138266,phenol,Oxygenated organics,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N
16,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,9.5051,32680-74-3,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,,,https://doi.org/10.1016/j.jhazmat.2025.138156,phenol,Oxygenated organics,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N
17,(2S)-2-amino-3-hydroxypropanoic acid,7.361727836,1102888-26-5,N[C@@H](CO)C(O)=O,,,https://doi.org/10.1021/acs.est.1c04326,amine,Nitrogen-containing organics,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",MTCFGRXMJLQNBG-REOHCLBHSA-N
18,(2S)-2-amino-4-methylsulfanylbutanoic acid,9.041392685,380447-92-7,CSCC[C@H](N)C(O)=O,,,https://doi.org/10.1021/acs.est.1c04326,amine,Nitrogen-containing organics,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",FFEARJCKVFRZRR-BYPYZUCNSA-N
19,"(2S,5R,6R)-6-[[(2R)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",9.0792,4493-18-9,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,,,https://doi.org/10.1016/j.jhazmat.2025.137997,amine,Nitrogen-containing organics,"InChI=1S/C23H27N5O7S/c1-4-26-10-11-27(19(32)18(26)31)22(35)25-13(12-8-6-5-7-9-12)16(29)24-14-17(30)28-15(21(33)34)23(2,3)36-20(14)28/h5-9,13-15,20H,4,10-11H2,1-3H3,(H,24,29)(H,25,35)(H,33,34)/t13-,14-,15+,20-/m1/s1",IVBHGBMCVLDMKU-GXNBUGAJSA-N
20,"(2S,5R,6R)-6-[[(2R)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",9.079181246,20087-62-1,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4)C(=O)C1=O,,,https://doi.org/10.1021/acs.est.1c04326,amine,Nitrogen-containing organics,"InChI=1S/C23H27N5O7S/c1-4-26-10-11-27(19(32)18(26)31)22(35)25-13(12-8-6-5-7-9-12)16(29)24-14-17(30)28-15(21(33)34)23(2,3)36-20(14)28/h5-9,13-15,20H,4,10-11H2,1-3H3,(H,24,29)(H,25,35)(H,33,34)/t13-,14-,15+,20-/m1/s1",IVBHGBMCVLDMKU-GXNBUGAJSA-N
